盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/27,2018/07/23,18.2,,,2018/08/15,0.3,0,0.3,0,0,0,0.3,19.6,1.53
2016,2017,2017/06/26,2017/07/27,22.4,,,2017/08/25,0.8,0,0.8,0,0,0,0.8,23,3.48
2015,2016,2016/06/20,2016/07/20,35.6,,,2016/08/16,0.8,0,0.8,0,0,0,0.8,29.6,2.71
2014,2015,2015/06/24,2015/08/04,16.7,,,2015/08/31,0.5,0,0.5,0,0,0,0.5,20.2,2.48
2013,2014,2014/06/24,2014/07/31,,,,2014/08/29,0.5,0,0.5,0,0,0,0.5,,
2012,2013,2013/06/28,,,,,,0,0.5,0.5,0,0,0,0.5,,
2011,2012,2012/06/22,,,,,,0.3,0,0.3,0,0,0,0.3,,
2010,2011,2011/06/24,,,,,,0.4,0,0.4,0,0,0,0.4,,
2009,2010,2010/06/24,,,,0.3,,0.3,0,0.3,0.3,0,0.3,0.6,,
2008,2009,2009/06/26,,,,,,0,0,0,0.9,0,0.9,0.9,,
