盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/20,,,,,,0,0,0,0,0,0,0,12.8,0
2016,2017,2017/06/14,,,,,,0,0,0,0,0,0,0,14.5,0
2015,2016,2016/06/16,,,,,,0,0,0,0,0,0,0,17.8,0
2014,2015,2015/06/17,2015/07/31,24.55,,,2015/08/28,0.2,0,0.2,0,0,0,0.2,23.8,0.84
2013,2014,2014/06/11,2014/07/11,35.2,,,,0.3,0,0.3,0,0,0,0.3,33.7,0.89
2012,2013,2013/05/31,,,,,,0,0,0,0,0,0,0,26.1,0
2011,2012,2012/06/19,,,,,,0,0,0,0,0,0,0,20.8,0
2010,2011,2011/04/11,2011/05/19,53.8,2011/05/19,53.8,,4.61,0,4.61,0.51,0,0.51,5.12,47,10.91
2009,2010,2010/06/18,,,,,,0,0,0,0,0,0,0,71.3,0
2008,2009,2009/06/19,2009/07/31,36.35,2009/07/31,36.35,,1.1,0,1.1,1.1,0,1.1,2.2,43.4,5.07
2007,2008,2008/06/30,2008/08/14,,2008/08/14,,,0.2,0,0.2,1.8,0,1.8,2,,
