盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/05,,,,,,0,0,0,0,0,0,0,7.16,0
2016,2017,2017/06/07,,,,,,0,0,0,0,0,0,0,6.36,0
2015,2016,2016/06/28,,,,,,0,0,0,0,0,0,0,8.05,0
2014,2015,2015/06/30,,,,,,0,0,0,0,0,0,0,8.88,0
2013,2014,2014/06/18,,,,,,0,0,0,0,0,0,0,8.61,0
2012,2013,2013/06/19,,,,,,0,0,0,0,0,0,0,7.72,0
2011,2012,2012/06/18,,,,,,0,0,0,0,0,0,0,9.26,0
2010,2011,2011/06/22,,,,,,0,0,0,0,0,0,0,10.4,0
2009,2010,2010/06/15,,,,,,0,0,0,0,0,0,0,5.24,0
2008,2009,2009/06/10,,,,,,0,0,0,0,0,0,0,3.81,0
2007,2008,2008/06/19,,,,,,0,0,0,0,0,0,0,5.76,0
2006,2007,2007/06/13,,,,,,0,0,0,0,0,0,0,6.32,0
2005,2006,2006/06/15,,,,,,0,0,0,0,0,0,0,3.19,0
2004,2005,2005/06/22,,,,,,0,0,0,0,0,0,0,4.38,0
