盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/15,,,,,,0.5,0,0.5,0.2,0,0.2,0.7,10.5,6.65
2016,2017,2017/06/14,2017/09/18,9.05,2017/09/18,9.05,2017/10/25,0.34,0,0.34,0.35,0,0.35,0.69,9.34,7.43
2015,2016,2016/06/17,2016/08/11,9.77,2016/08/11,9.77,2016/09/14,0.43,0,0.43,0.5,0,0.5,0.93,9.35,9.97
2014,2015,2015/06/12,2015/08/11,11.95,2015/08/11,11.95,2015/09/17,0.5,0,0.5,0.74,0,0.74,1.24,12.1,10.19
2013,2014,2014/06/12,2014/08/29,13.65,2014/08/29,13.65,2014/10/06,0.34,0,0.34,0.81,0,0.81,1.14,13.7,8.35
2012,2013,2013/06/14,2013/08/14,13.65,2013/08/14,13.65,,0.33,0,0.33,0.8,0,0.8,1.13,14.2,7.98
2011,2012,2012/06/15,2012/07/10,11.2,2012/08/07,12.3,,0.14,0,0.14,0.32,0,0.32,0.45,11.1,4.07
2010,2011,2011/06/10,2011/08/08,11.05,2011/08/08,11.05,,0.15,0,0.15,0.43,0,0.43,0.58,11.6,5
2009,2010,2010/06/18,2010/07/14,10.4,,,,0.12,0,0.12,0,0,0,0.12,11.1,1.04
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,9.97,0
2007,2008,2008/06/06,2008/07/17,11.5,,,,0.13,0,0.13,0,0,0,0.13,11.2,1.13
2006,2007,2007/06/11,2007/07/11,16.7,,,,0.3,0,0.3,0,0,0,0.3,15.2,1.99
2005,2006,2006/06/09,2006/07/05,15.25,,,,0.71,0,0.71,0,0,0,0.71,16.3,4.36
2004,2005,2005/05/10,2005/06/02,15.5,,,,0.88,0,0.88,0,0,0,0.88,16.5,5.34
2003,2004,2004/06/11,2004/08/03,15.8,2004/08/03,15.8,,0.5,0,0.5,0.46,0,0.46,0.96,17.8,5.38
2002,2003,2003/06/27,2003/07/24,11.75,,,,0.65,0,0.65,0,0,0,0.65,14.4,4.51
2001,2002,2002/06/26,,,2002/08/22,14.05,,0,0,0,0,0.61,0.61,0.61,14.7,4.15
