盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/27,2018/07/12,464.5,,,2018/08/03(即將發放),3.5,0,3.5,0,0,0,3.5,357.1,0.98
2016,2017,2017/06/27,,,,,,0,0,0,0,0,0,0,315,0
2015,2016,2016/06/27,,,,,,0,0,0,0,0,0,0,58.8,0
2014,2015,2015/06/11,,,,,,0,0,0,0,0,0,0,77.2,0
2013,2014,2014/06/27,,,,,,0,0,0,0,0,0,0,96,0
2012,2013,2013/06/19,2013/07/15,174.5,,,,2,0,2,0,0,0,2,160.6,1.24
2011,2012,2012/06/06,2012/06/27,234,,,,2.5,0,2.5,0,0,0,2.5,235.8,1.06
2010,2011,2011/06/24,2011/07/15,247.5,,,,1.5,0,1.5,0,0,0,1.5,268.3,0.56
2009,2010,2010/06/25,,,,,,0,0,0,0,0,0,0,125,0
2008,2009,2009/06/10,,,,,,0,0,0,0,0,0,0,43.9,0
2007,2008,2008/06/13,,,,,,0,0,0,0,0,0,0,45.2,0
2006,2007,2007/06/15,2007/07/25,91.1,2007/07/25,91.1,,3,0,3,0.1,0,0.1,3.1,85.7,3.62
2005,2006,2006/06/15,2006/07/20,129,2006/07/20,129,,7,0,7,1,0,1,8,224.2,3.57
2004,2005,2005/04/22,2005/05/26,,2005/05/26,,,5,0,5,5,0,5,10,480.4,2.08
