盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/22,2018/07/10,177.5,,,2018/08/06,11,0,11,0,0,0,11,184.3,5.97
2016,2017,2017/06/16,2017/07/12,167,,,2017/08/08,11.5,0,11.5,0,0,0,11.5,172,6.69
2015,2016,2016/06/17,2016/07/06,169.5,,,2016/07/28,10,0,10,0,0,0,10,171.5,5.83
2014,2015,2015/05/14,2015/07/08,175.5,,,2015/07/28,8,0,8,0,0,0,8,166.5,4.8
2013,2014,2014/06/19,2014/07/09,168,,,,8,0,8,0,0,0,8,166.6,4.8
2012,2013,2013/06/18,2013/07/08,218,,,,12.03,0,12.03,0,0,0,12.03,203,5.93
2011,2012,2012/04/17,2012/05/07,214.5,,,,10.88,0,10.88,0,0,0,10.88,202.9,5.36
2010,2011,2011/04/29,2011/05/17,,,,,4.66,0,4.66,0,0,0,4.66,175.7,2.65
