盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2015,2016,,,,,,,0,0,0,0,0,0,0,1.8,0
2010,2011,2011/04/27,,,,,,0,0,0,0,0,0,0,3.87,0
2009,2010,2010/04/29,,,,,,0,0,0,0,0,0,0,8.02,0
2008,2009,,,,,,,0,0,0,0,0,0,0,9.04,0
2006,2007,,2007/05/15,12.5,2007/06/11,3.11,,0.13,0,0.13,0,30,30,30.13,10.3,291.39
2005,2006,,,,,,,0.13,0,0.13,0,0,0,0.13,12.2,1.07
2004,2005,,2005/05/13,11.6,,,,0.19,0,0.19,0,0,0,0.19,12.8,1.46
2003,2004,,2004/04/29,20.5,2004/04/29,20.5,,0.4,0,0.4,0,1.99,1.99,2.39,16.8,14.18
2002,2003,,2003/07/10,19.6,,,,0.41,0,0.41,0,0,0,0.41,19.8,2.09
