盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/25,,,,,,0,0,0,0,0,0,0,3.35,0
2016,2017,2017/04/14,,,,,,0,0,0,0,0,0,0,3.11,0
2015,2016,2016/06/21,,,,,,0,0,0,0,0,0,0,5.23,0
2014,2015,2015/06/15,,,,,,0,0,0,0,0,0,0,11.4,0
2013,2014,2014/06/18,,,,,,0,0,0,0,0,0,0,19.2,0
2012,2013,2013/06/25,,,,,,0,0,0,0,0,0,0,19,0
2011,2012,2012/06/19,,,2012/08/09,22.65,,0,0,0,0.6,0,0.6,0.6,30.3,1.97
2010,2011,2011/06/09,,,2011/07/28,67.5,,0,0,0,2.25,0,2.25,2.25,68.4,3.29
2009,2010,2010/06/30,,,,,,0,0,0,0,0,0,0,46.7,0
2008,2009,2009/06/10,2009/08/24,37.1,2009/08/24,37.1,,0.49,0,0.49,1.97,0,1.97,2.47,42.9,5.76
2007,2008,2008/04/11,,,2008/07/09,61.3,,0,0,0,3.6,0.7,4.3,4.3,72.6,5.92
2006,2007,2007/05/08,,,2007/06/14,,,0,0,0,1.82,0.27,2.09,2.09,92.6,2.26
2005,2006,,,,,,,0,0,0,0,0,0,0,,
2003,2004,,,,,,,0,0,0,0,0,0,0,,
