盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/07,,,,,,2,0,2,0,0,0,2,54.4,3.68
2016,2017,2017/06/08,2017/08/28,46.7,,,2017/09/22,1.5,0,1.5,0,0,0,1.5,49.7,3.02
2015,2016,2016/06/14,2016/08/25,55.2,,,2016/09/22,1.8,0,1.8,0,0,0,1.8,58,3.1
2014,2015,2015/06/02,,,,,,0,0,0,0,0,0,0,46.2,0
2013,2014,2014/06/19,2014/09/03,65.7,,,2014/09/25,0.99,0,0.99,0,0,0,0.99,58.8,1.68
2012,2013,2013/06/11,2013/08/23,37.95,,,,0.99,0,0.99,0,0,0,0.99,40,2.49
2011,2012,2012/06/05,2012/08/13,47.6,,,,0.2,0,0.2,0,0,0,0.2,42.9,0.46
2010,2011,2011/06/09,,,,,,0,0,0,0,0,0,0,24,0
2009,2010,2010/06/11,,,,,,0,0,0,0,0,0,0,14.4,0
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,7.11,0
2007,2008,,,,,,,0,0,0,0,0,0,0,5.15,0
2006,2007,2007/06/08,,,,,,0,0,0,0,0,0,0,2.97,0
2005,2006,2006/05/26,,,,,,0,0,0,0,0,0,0,1.83,0
2004,2005,2005/06/30,,,,,,0,0,0,0,0,0,0,2.29,0
2003,2004,,,,,,,0.15,0,0.15,0.15,0,0.15,0.3,21.4,1.4
2002,2003,2003/05/09,,,2003/10/30,28.2,,0,0,0,0.38,0,0.38,0.38,27.8,1.37
2001,2002,,,,,,,1,0,1,0,0,0,1,23.4,4.27
2000,2001,2001/06/15,,,,,,0,0,0,1.5,0,1.5,1.5,,
1999,2000,,,,,,,0,0,0,0,0,0,0,,
