盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/15,2018/07/09,32.9,,,2018/08/03(即將發放),0,0.84,0.84,0,0,0,0.84,30.7,2.74
2016,2017,2017/06/15,2017/06/30,27.1,,,2017/07/28,0.71,0,0.71,0,0,0,0.71,28.5,2.5
2015,2016,2016/06/14,2016/06/30,26.6,,,2016/07/26,1.12,0,1.12,0,0,0,1.12,28.9,3.89
2014,2015,2015/06/16,2015/07/03,34.6,,,2015/07/29,2.5,0,2.5,0,0,0,2.5,38.8,6.44
2013,2014,2014/06/12,2014/06/27,53.1,,,,3.15,0,3.15,0,0,0,3.15,55.5,5.67
2012,2013,2013/06/14,2013/07/01,49,,,,2,0,2,0,0,0,2,52.9,3.78
2011,2012,2012/06/15,2012/07/11,41.4,,,,1.5,0,1.5,0,0,0,1.5,43,3.49
2010,2011,2011/06/17,2011/07/04,55,,,,1.01,0,1.01,0,0,0,1.01,55.1,1.83
2009,2010,2010/06/14,2010/07/01,66.3,,,,1.5,0,1.5,0,0,0,1.5,66.3,2.26
2008,2009,2009/06/19,,,2009/07/21,45.55,,0,0,0,0.5,0,0.5,0.5,40.1,1.26
2007,2008,2008/06/11,2008/07/28,44.25,2008/07/28,44.25,,0.5,0,0.5,0.5,0,0.5,1,40.5,2.47
2006,2007,2007/06/15,,,2007/07/25,39.45,,0,0,0,0.2,0.2,0.4,0.4,41.2,0.97
2005,2006,2006/06/15,,,,,,0,0,0,0,0,0,0,15,0
2004,2005,2005/06/14,2005/07/13,11.4,2005/07/13,11.4,,0.5,0,0.5,0.3,0.2,0.5,1,10.8,9.28
2003,2004,2004/05/25,2004/06/28,12.3,2004/06/28,12.3,,0.5,0,0.5,0.2,0.3,0.5,1.01,13.9,7.22
2002,2003,2003/06/12,,,2003/08/04,14.15,,0,0,0,0,0.3,0.3,0.3,12.3,2.45
2001,2002,2002/05/31,,,2002/07/09,13.13,,0,0,0,0.5,0.5,1.01,1.01,15.1,6.67
2000,2001,2001/06/12,,,,,,0,0,0,0,0,0,0,12.1,0
1999,2000,2000/06/08,,,2000/07/25,16.5,,0,0,0,0,1,1,1,17.6,5.68
1998,1999,1999/05/13,,,1999/07/14,24.3,,0,0,0,0.5,0.5,1,1,25.3,3.96
1997,1998,,,,,,,0,0,0,2,2,4,4,61.2,6.53
1996,1997,1997/05/05,,,1997/07/05,,,0,0,0,12,0,12,12,167,7.19
1995,1996,1996/05/30,,,1996/07/18,,,0,0,0,2.2,0,2.2,2.2,89.3,2.46
1994,1995,1995/04/21,,,1995/11/21,,,0,0,0,2,0,2,2,,
1993,1994,1994/05/10,,,1994/08/08,,,0,0,0,2.1,0.4,2.5,2.5,,
1992,1993,1993/04/27,,,1993/07/14,,,0,0,0,3,0,3,3,,
