盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/28,,,,,,0,0,0,0,0,0,0,8.68,0
2016,2017,2017/06/28,,,,,,0,0,0,0,0,0,0,7.88,0
2015,2016,2016/06/29,,,,,,0,0,0,0,0,0,0,7.47,0
2014,2015,2015/06/30,,,,,,0,0,0,0,0,0,0,9.01,0
2013,2014,2014/06/26,,,,,,0,0,0,0,0,0,0,10.7,0
2012,2013,2013/06/28,,,,,,0,0,0,0,0,0,0,8.1,0
2011,2012,2012/06/22,,,,,,0,0,0,0,0,0,0,7.21,0
2010,2011,2011/06/17,,,,,,0,0,0,0,0,0,0,12.6,0
2009,2010,2010/06/18,2010/08/31,21.3,2010/08/31,21.3,,0.68,0,0.68,0.1,0.19,0.29,0.97,22.9,4.22
2008,2009,2009/06/19,2009/08/04,22.8,,,,1.2,0,1.2,0,0,0,1.2,19.5,6.16
2007,2008,2008/06/13,2008/09/29,21.6,2008/09/29,21.6,,3,0,3,0.5,0,0.5,3.5,26.3,13.29
2006,2007,2007/06/08,2007/09/17,,,,,2.49,0,2.49,0,0,0,2.49,,
2005,2006,2006/06/20,2006/10/17,,2006/10/17,,,1.98,0,1.98,1.98,0,1.98,3.96,,
2004,2005,2005/06/14,2005/07/26,,2005/07/26,,,1,0,1,2,0,2,3,,
2003,2004,,,,,,,2.5,0,2.5,2.5,0,2.5,5,,
