盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/15,2018/07/12,34.5,,,2018/08/17(即將發放),2.1,0.4,2.5,0,0,0,2.5,36.4,6.87
2016,2017,2017/06/14,2017/07/12,33.8,,,2017/08/17,2.25,0.68,2.93,0,0,0,2.93,34.6,8.48
2015,2016,2016/06/20,2016/07/11,27.2,,,2016/08/11,2,0,2,0,0,0,2,28.9,6.93
2014,2015,2015/06/17,2015/08/25,18.8,,,2015/09/25,2,0,2,0,0,0,2,32,6.24
2013,2014,2014/06/11,2014/07/17,36.2,,,2014/08/15,1.19,0,1.19,0,0,0,1.19,34.4,3.46
2012,2013,2013/06/11,2013/08/19,21.6,,,,0.5,0.7,1.2,0,0,0,1.2,24.5,4.92
2011,2012,2012/06/15,,,,,,0,0,0,0,0,0,0,25.7,0
2010,2011,2011/06/15,2011/07/12,37.5,,,,1.5,0,1.5,0,0,0,1.5,40.8,3.67
2009,2010,2010/06/17,2010/07/12,49,,,,2,0,2,0,0,0,2,57.1,3.51
2008,2009,2009/06/10,2009/08/28,59.2,,,,1,0,1,0,0,0,1,60,1.67
2007,2008,2008/06/13,2008/08/22,77,2008/08/22,77,,2.99,0,2.99,0.3,0,0.3,3.29,76.5,4.3
2006,2007,2007/06/11,2007/07/03,83,,,,2,0,2,0,0,0,2,88.2,2.27
2005,2006,2006/06/12,2006/08/09,22.9,,,,1.69,0,1.69,0,0,0,1.69,27.8,6.07
2004,2005,2005/06/13,2005/08/08,15.85,,,,0.5,0,0.5,0,0,0,0.5,17.1,2.92
2003,2004,2004/06/01,2004/06/21,13.1,,,,1.21,0,1.21,0,0,0,1.21,16.7,7.24
2002,2003,2003/04/11,2003/07/30,24,2003/07/30,24,,0.51,0,0.51,0.61,0.41,1.02,1.54,25.2,6.08
2001,2002,2002/05/30,2002/08/29,,2002/08/29,,,0.5,0,0.5,0.1,0.4,0.5,1,26.6,3.77
2000,2001,2001/06/28,2001/08/30,,,,,1.1,0,1.1,0,0,0,1.1,,
1999,2000,,,,,,,0,0,0,2,0,2,2,,
