盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/15,2018/07/12,11.9,,,2018/08/17(即將發放),1.5,0,1.5,0,0,0,1.5,13.1,11.48
2016,2017,2017/06/15,2017/07/03,13.35,,,2017/07/28,0.56,0,0.56,0,0,0,0.56,12.4,4.53
2015,2016,2016/06/16,2016/07/07,10.65,,,2016/08/31,0.35,0,0.35,0,0,0,0.35,10.7,3.28
2014,2015,2015/06/02,2015/07/06,13.25,,,2015/08/20,0.5,0,0.5,0,0,0,0.5,12.9,3.87
2013,2014,2014/06/06,2014/07/24,13.3,,,,0.01,0.14,0.15,0,0,0,0.15,12.4,1.21
2012,2013,2013/06/19,,,,,,0,0,0,0,0,0,0,11.4,0
2011,2012,2012/06/13,,,,,,0,0,0,0,0,0,0,12.5,0
2010,2011,2011/06/10,2011/07/07,18.1,,,,0.4,0,0.4,0,0,0,0.4,19.3,2.07
2009,2010,2010/06/18,,,,,,0,0,0,0,0,0,0,32.4,0
2008,2009,2009/06/19,2009/08/12,33,2009/08/12,33,,0.3,0,0.3,0.3,0,0.3,0.6,32,1.88
2007,2008,2008/06/19,2008/07/31,33.7,2008/07/31,33.7,,2.5,0,2.5,0.5,0,0.5,3,43.2,6.95
2006,2007,2007/06/13,2007/08/10,53.5,2007/08/10,53.5,,0.2,0,0.2,0.2,0,0.2,0.4,53.9,0.74
2005,2006,2006/06/15,2006/08/01,44.95,2006/08/01,44.95,,0.3,0,0.3,0.3,0,0.3,0.6,47.5,1.26
2004,2005,2005/06/14,2005/07/14,47.4,2005/07/14,47.4,,1.2,0,1.2,0.9,0,0.9,2.1,47.5,4.42
2003,2004,2004/04/29,2004/05/27,63,2004/05/27,63,,1.2,0,1.2,0.5,0,0.5,1.7,49.8,3.41
2002,2003,2003/05/29,2003/07/02,23.8,2003/07/02,23.8,,0.5,0,0.5,0.5,0,0.5,1,31.6,3.17
2001,2002,2002/05/21,,,,,,0,0,0,0,0,0,0,35.7,0
2000,2001,2001/05/10,,,2001/08/14,22.8,,0,0,0,1.1,0.5,1.6,1.6,27.6,5.79
1999,2000,,,,,,,0,0,0,0,0,0,0,34.6,0
1998,1999,1999/04/23,,,,,,0,0,0,0,0,0,0,,
1997,1998,1998/04/23,,,,,,0,0,0,0,0,0,0,,
1996,1997,,,,,,,0,0,0,0,0,0,0,,
