盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/05/10,,,,,,0,0,0,0,0,0,0,13.8,0
2016,2017,2017/05/11,,,,,,0,0,0,0,0,0,0,14.1,0
2015,2016,2016/05/10,,,,,,0,0,0,0,0,0,0,15.1,0
2014,2015,2015/05/12,,,,,,0,0,0,0,0,0,0,17.2,0
2013,2014,2014/05/14,,,,,,0,0,0,0,0,0,0,21.5,0
2012,2013,2013/05/17,2013/06/13,24.2,,,,1,0,1,0,0,0,1,23.4,4.26
2011,2012,2012/05/15,2012/06/05,25.9,,,,1.99,0.01,2,0,0,0,2,25.8,7.76
2010,2011,2011/05/18,2011/08/02,31.1,2011/08/02,31.1,,0.85,0,0.85,0,0.15,0.15,1,27.5,3.63
2009,2010,2010/05/14,2010/07/14,34.25,2010/07/14,34.25,,0.1,0,0.1,0,0.4,0.4,0.5,29.5,1.69
2008,2009,2009/05/08,2009/07/09,21.8,2009/07/09,21.8,,1.1,0,1.1,0,0.4,0.4,1.5,23,6.52
2007,2008,2008/05/16,,,2008/08/05,22.66,,0,0,0,1.23,0.26,1.5,1.5,24.7,6.05
2006,2007,2007/06/07,2007/08/14,27.55,2007/08/14,27.55,,1.1,0,1.1,0,0.4,0.4,1.5,28.1,5.33
2005,2006,2006/05/26,2006/08/09,24.57,2006/08/09,24.57,,1.5,0,1.5,0.3,0.2,0.5,2,24,8.32
2004,2005,2005/05/24,2005/08/09,18.29,2005/08/09,18.29,,1,0,1,0.4,0.1,0.5,1.5,18.6,8.06
2003,2004,2004/04/30,2004/06/15,20.9,2004/06/15,20.9,,1,0,1,0.5,0,0.5,1.5,20.5,7.31
2002,2003,2003/05/02,2003/06/16,18.5,2003/06/16,18.5,,1.4,0,1.4,0.6,0,0.6,2,21.1,9.48
2001,2002,,,,,,,0.5,0,0.5,1.5,0,1.5,2,,
2000,2001,,,,,,,1.5,0,1.5,0,0,0,1.5,,
1999,2000,,,,,,,0,0,0,0.8,0.4,1.2,1.2,,
1998,1999,,,,,,,0,0,0,0,0,0,0,,
