盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/28,2018/07/24(即將除息),,,,2018/08/15(即將發放),0.5,0,0.5,0,0,0,0.5,22.8,2.21
2016,2017,2017/06/26,2017/07/21,25.35,,,2017/08/11,1.2,0,1.2,0,0,0,1.2,25.8,4.65
2015,2016,2016/03/31,2016/05/04,39.65,,,2016/05/25,1.2,0,1.2,0,0,0,1.2,34.4,3.47
2014,2015,2015/06/26,2015/07/15,28,,,2015/07/31,1.6,0,1.6,0,0,0,1.6,27.2,5.88
2013,2014,2014/06/27,2014/07/15,30.5,,,,2.5,0,2.5,0,0,0,2.5,29.6,8.45
2012,2013,2013/06/20,2013/07/09,31.3,,,,1,0,1,0,0,0,1,33,3.03
2011,2012,2012/06/28,2012/07/17,28.1,,,,2.3,0,2.3,0,0,0,2.3,32.1,7.17
2010,2011,2011/06/10,2011/07/07,38,,,,2.42,0,2.42,0,0,0,2.42,38.7,6.25
2009,2010,2010/06/18,2010/07/19,35.9,,,,1.5,0,1.5,0,0,0,1.5,38.9,3.85
2008,2009,2009/06/19,2009/07/30,22.5,2009/07/30,22.5,,1,0,1,0.5,0,0.5,1.5,22.8,6.59
2007,2008,2008/06/13,2008/07/10,28.8,,,,2.5,0,2.5,0,0,0,2.5,30.2,8.29
2006,2007,2007/06/08,2007/07/26,53.1,2007/07/26,53.1,,3.68,0,3.68,0.01,0.09,0.1,3.78,51,7.41
2005,2006,2006/06/09,2006/07/27,37.5,2006/07/27,37.5,,3,0,3,0.04,0.06,0.1,3.1,41,7.56
2004,2005,2005/05/20,2005/07/07,38.85,2005/07/07,38.85,,3,0,3,0.1,0,0.1,3.1,40.2,7.71
2003,2004,2004/05/21,2004/06/17,42.9,,,,3,0,3,0,0,0,3,44.3,6.77
2002,2003,2003/05/23,2003/06/20,41,,,,3,0,3,0,0,0,3,43.8,6.84
2001,2002,2002/05/03,2002/06/05,,2002/06/05,,,3,0,3,0,0.5,0.5,3.5,40.9,8.56
2000,2001,,,,,,,1.8,0,1.8,1.8,0.4,2.2,4,44.7,8.95
1999,2000,2000/05/12,,,2000/08/10,,,0,0,0,4,0,4,4,70,5.71
1998,1999,1999/05/21,,,1999/06/22,,,0,0,0,5,0,5,5,100.7,4.97
1997,1998,1998/04/18,,,1998/05/13,,,0,0,0,2,1,3,3,,
1996,1997,,,,,,,0,0,0,1,1,2,2,,
1995,1996,,,,,,,0,0,0,0,1.5,1.5,1.5,,
