盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/13,,,,,,0,0,0,0,0,0,0,14.4,0
2016,2017,2017/06/15,2017/08/25,13.45,,,2017/09/15,0.2,0,0.2,0,0,0,0.2,15,1.33
2015,2016,2016/06/16,,,,,,0,0,0,0,0,0,0,15.3,0
2014,2015,2015/06/15,2015/08/26,9.51,,,2015/09/11,0.15,0,0.15,0,0,0,0.15,14.1,1.1
2013,2014,2014/06/17,2014/08/27,23.1,,,2014/09/18,0.3,0,0.3,0,0,0,0.3,19.4,1.55
2012,2013,2013/06/18,,,,,,0,0,0,0,0,0,0,14.8,0
2011,2012,2012/06/12,2012/08/29,14.4,,,,1.1,0,1.1,0,0,0,1.1,15.5,7.11
2010,2011,2011/06/15,2011/08/24,17.75,,,,0.63,0,0.63,0,0,0,0.63,21.9,2.88
2009,2010,,,,,,,0,0,0,0,0,0,0,23.1,0
2008,2009,,,,,,,0.31,0,0.31,0,0,0,0.31,,
2007,2008,,,,,,,0.85,0,0.85,0.15,0,0.15,1,,
2006,2007,,,,,,,1.3,0,1.3,0.2,0,0.2,1.5,,
2005,2006,,,,,,,1.7,0,1.7,1.3,0,1.3,3,,
2004,2005,,,,,,,1.8,0,1.8,1.4,0,1.4,3.2,,
2003,2004,,,,,,,1.5,0,1.5,1.5,0,1.5,3,,
2002,2003,,,,,,,1,0,1,1.5,0,1.5,2.5,,
2001,2002,,,,,,,0,0,0,1.5,0,1.5,1.5,,
2000,2001,,,,,,,0,0,0,1.5,0,1.5,1.5,,
1999,2000,,,,,,,0,0,0,1.3,0.2,1.5,1.5,,
1998,1999,,,,,,,0.3,0,0.3,1.5,0,1.5,1.8,,
1997,1998,,,,,,,0,0,0,1.5,0,1.5,1.5,,
1996,1997,,,,,,,0.5,0,0.5,2,0,2,2.5,,
1995,1996,,,,,,,0.8,0,0.8,2,0,2,2.8,,
1994,1995,,,,,,,0.6,0,0.6,3.4,0,3.4,4,,
1993,1994,,,,,,,0,0,0,12.38,0,12.38,12.38,,
1992,1993,,,,,,,1,0,1,26.54,0,26.54,27.54,,
