106/11/24,4293000,572602500,122.0,160.0,122.0,158.0,X0.00,2740
106/11/27,2038705,296558135,147.0,151.0,140.5,142.5,-15.50,1617
106/11/28,1210295,171628216,145.5,146.0,135.5,146.0,+3.50,1023
106/11/29,1467000,222063000,147.0,162.0,142.0,155.0,+9.00,1177
106/11/30,1075000,160747000,150.0,157.0,145.5,146.0,-9.00,877
106/12/01,1121330,156103715,148.0,148.0,131.5,133.0,-13.00,960
106/12/04,667100,84635250,130.0,131.0,123.5,124.5,-8.50,560
106/12/05,814100,94558400,123.0,123.0,112.5,112.5,-12.00,652
106/12/06,536070,62564260,112.0,121.5,112.0,116.0,+3.50,460
106/12/07,372151,41667638,116.0,116.0,110.0,111.5,-4.50,328
106/12/08,455249,48339141,111.5,112.0,101.5,107.5,-4.00,370
106/12/11,239300,25538500,106.5,110.0,103.5,107.0,-0.50,214
106/12/12,448000,50093500,108.5,116.0,106.0,111.0,+4.00,378
106/12/13,509340,54203700,109.0,111.0,103.5,105.0,-6.00,412
106/12/14,260100,27420600,105.5,108.0,103.5,105.0, 0.00,209
106/12/15,174100,18051200,106.0,106.0,103.0,103.0,-2.00,141
106/12/18,131130,13737780,103.0,107.0,103.0,105.0,+2.00,122
106/12/19,150001,15563104,105.0,105.5,102.5,103.0,-2.00,135
106/12/20,552000,59790500,103.5,113.0,102.5,113.0,+10.00,454
106/12/21,549051,61916441,113.0,116.5,109.0,113.5,+0.50,469
106/12/22,206200,22924900,113.0,113.0,110.0,111.0,-2.50,194
106/12/25,264200,28498600,111.0,112.0,106.0,106.0,-5.00,213
106/12/26,228460,23783610,106.0,107.0,102.5,103.5,-2.50,186
106/12/27,109100,11487000,104.0,106.5,104.0,104.5,+1.00,100
106/12/28,100130,10395520,104.5,104.5,103.5,103.5,-1.00,93
106/12/29,140030,14663150,104.0,106.5,104.0,104.0,+0.50,110
107/01/02,165000,16829000,104.0,104.0,101.0,102.5,-1.50,142
107/01/03,118080,12218740,103.0,104.5,102.5,103.0,+0.50,105
107/01/04,70000,7258000,103.0,104.5,103.0,103.5,+0.50,63
107/01/05,97106,9955918,103.5,103.5,102.0,102.0,-1.50,84
107/01/08,391190,41889020,102.5,109.0,102.5,108.5,+6.50,312
107/01/09,221052,23264908,106.5,107.5,104.0,104.0,-4.50,181
107/01/10,151088,15514888,104.0,104.0,102.0,102.0,-2.00,130
107/01/11,252308,25133630,102.0,103.0,97.0,97.4,-4.60,224
107/01/12,193100,18909900,97.5,99.5,97.4,97.4, 0.00,159
107/01/15,412250,38533900,97.4,97.4,91.4,92.5,-4.90,348
107/01/16,148000,13994000,92.7,95.5,92.7,95.2,+2.70,123
107/01/17,146030,14062553,95.2,97.0,94.0,96.1,+0.90,103
107/01/18,90020,8553590,97.0,97.0,94.5,94.5,-1.60,80
107/01/19,84000,7996300,95.2,95.9,95.0,95.0,+0.50,65
107/01/22,91030,8523090,95.5,95.5,93.2,93.2,-1.80,81
107/01/23,80050,7484455,93.3,94.0,93.2,94.0,+0.80,56
107/01/24,46000,4261900,94.5,94.5,92.4,92.5,-1.50,45
107/01/25,144000,13161300,92.5,92.5,90.5,91.0,-1.50,116
107/01/26,77278,7001403,91.0,91.0,90.3,90.3,-0.70,71
107/01/29,78070,7081010,92.8,92.8,89.0,91.5,+1.20,71
107/01/30,45322,4064358,90.3,90.3,89.0,89.0,-2.50,42
107/01/31,378000,34356200,88.0,96.3,84.5,94.8,+5.80,314
107/02/01,323102,30657392,94.4,97.0,92.2,96.0,+1.20,275
107/02/02,97000,9106000,95.0,95.0,92.5,93.0,-3.00,79
107/02/05,115000,10241400,90.0,90.3,88.2,90.1,-2.90,95
107/02/06,217000,18793500,86.5,92.0,84.0,85.1,-5.00,167
107/02/07,107050,9257910,86.8,88.0,84.2,84.2,-0.90,82
107/02/08,76000,6447700,84.2,85.4,84.2,85.0,+0.80,48
107/02/09,87100,7299690,83.0,85.0,82.1,83.2,-1.80,64
107/02/12,85030,7258056,85.0,86.3,84.2,85.8,+2.60,63
107/02/21,40000,3487200,87.8,87.8,86.5,86.7,+0.90,34
107/02/22,53001,4591990,87.1,87.3,86.1,87.1,+0.40,48
107/02/23,170098,15386265,87.8,92.5,87.8,92.0,+4.90,145
107/02/26,127000,11384000,92.1,92.1,88.5,88.7,-3.30,106
107/02/27,36000,3174600,89.0,89.0,87.7,87.7,-1.00,31
