106/12/28,2687310,255345206,96.0,97.7,90.0,93.0,X0.00,1947
106/12/29,1100884,98596961,90.5,91.9,88.0,90.0,-3.00,870
107/01/02,615916,54243332,90.5,90.5,85.7,86.0,-4.00,489
107/01/03,1381100,126981200,86.0,95.0,85.2,94.4,+8.40,1075
107/01/04,615830,57173823,92.1,95.4,91.3,92.2,-2.20,491
107/01/05,1317390,130868590,96.0,101.0,95.9,101.0,+8.80,831
107/01/08,2178040,239820940,111.0,111.0,104.0,111.0,+10.00,1529
107/01/09,1628884,180639544,108.0,116.5,106.0,116.5,+5.50,1309
107/01/10,964589,108169348,113.5,114.5,109.0,113.0,-3.50,817
107/01/11,1140225,126336487,114.0,115.5,107.0,115.5,+2.50,895
107/01/12,1843726,221096529,115.5,125.0,113.0,119.0,+3.50,1480
107/01/15,1198992,137247580,116.5,119.0,110.5,114.5,-4.50,969
107/01/16,834335,92682345,114.0,115.0,108.0,108.0,-6.50,710
107/01/17,863754,95911194,108.0,114.5,105.0,111.5,+3.50,740
107/01/18,1368421,156095703,112.5,118.0,107.5,115.0,+3.50,1092
107/01/19,2478005,296421610,114.0,126.5,111.0,122.0,+7.00,1841
107/01/22,1559197,189486837,122.0,125.5,117.5,120.0,-2.00,1272
107/01/23,1798300,221119645,118.0,127.0,118.0,125.5,+5.50,1436
107/01/24,753335,92559705,122.5,124.5,121.0,122.5,-3.00,662
107/01/25,1260290,149799640,123.0,123.5,115.0,117.0,-5.50,1019
107/01/26,670630,79580970,119.0,120.5,116.5,118.0,+1.00,601
107/01/29,585500,69413500,119.5,121.5,115.5,120.0,+2.00,525
107/01/30,637792,73714080,119.0,119.0,113.0,113.0,-7.00,544
107/01/31,897417,100966496,105.0,119.0,105.0,118.0,+5.00,709
107/02/01,669392,78669040,119.5,121.0,113.5,114.0,-4.00,583
107/02/02,259059,29315696,112.0,115.5,112.0,112.5,-1.50,234
107/02/05,326550,35224450,106.0,112.0,105.5,108.0,-4.50,273
107/02/06,729130,71664766,105.0,105.0,97.2,97.2,-10.80,584
107/02/07,905574,87058682,98.0,101.0,90.1,90.5,-6.70,722
107/02/08,406676,36403278,90.0,91.9,87.5,90.5, 0.00,354
107/02/09,906626,85130948,88.5,99.2,85.2,98.5,+8.00,732
107/02/12,541000,53230700,98.5,100.5,96.5,99.0,+0.50,456
107/02/21,864853,93000050,104.0,108.5,102.0,108.5,+9.50,641
107/02/22,1130492,127294333,109.5,117.0,108.5,115.0,+6.50,916
107/02/23,904798,103904871,116.0,118.5,111.5,112.5,-2.50,746
107/02/26,626002,71446230,115.0,117.0,112.0,112.5, 0.00,516
107/02/27,533305,58739200,115.5,115.5,108.0,108.5,-4.00,452
